id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
233,21/02/15,Barcelona,Malaga,0,1,A,0,1,A,11,11,5,3,9,11,11,3,4,3,0,0
234,21/02/15,Cordoba,Valencia,1,2,A,0,1,A,11,17,4,7,17,15,6,2,1,2,0,0
235,21/02/15,La Coruna,Celta,0,2,A,0,0,D,14,8,4,5,17,13,4,3,2,4,1,0
236,22/02/15,Ath Bilbao,Vallecano,1,0,H,0,0,D,19,5,6,1,17,13,11,4,3,2,0,0
237,22/02/15,Elche,Real Madrid,0,2,A,0,0,D,4,17,1,5,17,6,1,6,4,1,0,0
238,22/02/15,Sociedad,Sevilla,4,3,H,1,1,D,17,17,8,5,16,12,5,10,5,3,0,0
239,22/02/15,Villarreal,Eibar,1,0,H,0,0,D,21,10,6,1,5,3,8,3,2,0,0,0
240,23/02/15,Levante,Granada,2,1,H,0,1,A,9,10,4,4,18,14,7,4,3,5,1,2
241,27/02/15,Espanol,Cordoba,1,0,H,1,0,H,12,16,4,4,22,14,2,6,5,4,0,0
242,28/02/15,Almeria,La Coruna,0,0,D,0,0,D,10,25,3,9,13,19,7,11,2,3,2,0
243,28/02/15,Granada,Barcelona,1,3,A,0,1,A,10,16,4,9,18,9,4,5,2,3,0,0
